EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date
E00699,Ava Ayala,Sr. Manger,IT,Corporate,Female,Latino,55,16-08-06,"$159,044 ",10% ,Brazil,Manaus,
E00502,Natalia Salazar,Sr. Analyst,Accounting,Manufacturing,Female,Latino,44,02-01-19,"$74,691 ",0% ,Brazil,Manaus,08-07-20
E04000,Skylar Carrillo,Engineering Manager,Engineering,Corporate,Female,Latino,44,18-12-08,"$92,753 ",13% ,United States,Austin,24-06-21
E02112,Christian Sanders,Vice President,Human Resources,Speciality Products,Male,Black,45,07-08-13,"$236,946 ",37% ,United States,Seattle,
E03824,Penelope Coleman,Analyst,Finance,Corporate,Female,Black,36,27-08-21,"$48,906 ",0% ,United States,Miami,
E03906,Piper Richardson,Sr. Analyst,Sales,Corporate,Female,Caucasian,38,27-01-08,"$80,024 ",0% ,United States,Columbus,
E00436,Everly Walker,HRIS Analyst,Human Resources,Speciality Products,Female,Caucasian,41,23-10-09,"$54,415 ",0% ,United States,Seattle,22-01-14
E04798,Aurora Ali,Manager,Marketing,Research & Development,Female,Asian,30,24-04-16,"$120,341 ",7% ,United States,Seattle,
E01249,Penelope Guerrero,Vice President,IT,Speciality Products,Female,Latino,43,04-08-09,"$208,415 ",35% ,United States,Seattle,
E03349,Anna Mehta,Cloud Infrastructure Architect,IT,Speciality Products,Female,Asian,32,05-01-20,"$78,844 ",0% ,United States,Seattle,
E02966,William Foster,Field Engineer,Engineering,Manufacturing,Male,Caucasian,58,23-05-02,"$76,354 ",0% ,United States,Phoenix,26-09-21
E01499,Jade Rojas,Director,Finance,Speciality Products,Female,Latino,37,28-01-19,"$165,927 ",20% ,United States,Phoenix,
E00105,Isla Espinoza,Manager,Accounting,Speciality Products,Female,Latino,38,16-11-21,"$109,812 ",9% ,Brazil,Manaus,
E00665,David Chu,Controls Engineer,Engineering,Corporate,Male,Asian,55,03-09-98,"$86,299 ",0% ,United States,Seattle,
E00791,Thomas Padilla,Vice President,Marketing,Research & Development,Male,Latino,57,26-07-03,"$206,624 ",40% ,Brazil,Sao Paulo,
E01540,Miles Salazar,IT Coordinator,IT,Manufacturing,Male,Latino,36,23-12-10,"$53,215 ",0% ,Brazil,Sao Paulo,27-03-14
E04474,Mila Hong,Test Engineer,Engineering,Research & Development,Female,Asian,30,22-05-17,"$86,858 ",0% ,China,Chongqing,08-10-17
E03417,Benjamin Moua,Computer Systems Manager,IT,Manufacturing,Male,Asian,40,02-07-07,"$93,971 ",8% ,China,Chongqing,
E00254,Samuel Morales,Analyst II,Finance,Corporate,Male,Latino,34,27-06-15,"$57,008 ",0% ,United States,Phoenix,
E02166,John Soto,Sr. Manger,Finance,Manufacturing,Male,Latino,60,23-09-15,"$141,899 ",15% ,United States,Phoenix,
E00935,Joseph Martin,Analyst II,Marketing,Corporate,Male,Black,41,13-09-16,"$64,847 ",0% ,United States,Miami,
E01525,Jose Ross,Engineering Manager,Engineering,Research & Development,Male,Caucasian,53,08-04-92,"$116,878 ",11% ,United States,Miami,
E00386,Parker James,Quality Engineer,Engineering,Speciality Products,Male,Black,45,05-02-05,"$70,505 ",0% ,United States,Austin,
E00416,Everleigh Fernandez,Director,Engineering,Research & Development,Female,Latino,30,22-05-16,"$189,702 ",28% ,Brazil,Manaus,21-12-20
E03383,Lincoln Hall,Director,Accounting,Speciality Products,Male,Caucasian,26,28-07-20,"$180,664 ",27% ,United States,Chicago,
E01516,Willow Mai,Business Partner,Human Resources,Manufacturing,Female,Asian,45,17-12-03,"$48,345 ",0% ,China,Chengdu,
E01234,Jack Cheng,Director,Human Resources,Manufacturing,Male,Asian,42,16-01-14,"$152,214 ",30% ,China,Beijing,
E03440,Genesis Navarro,Cloud Infrastructure Architect,IT,Corporate,Female,Latino,41,28-04-09,"$69,803 ",0% ,Brazil,Manaus,
E00431,Eliza Hernandez,Network Architect,IT,Corporate,Female,Latino,48,04-07-19,"$76,588 ",0% ,Brazil,Rio de Janerio,
E01258,Gabriel Brooks,Network Engineer,IT,Manufacturing,Male,Caucasian,29,10-12-18,"$84,596 ",0% ,United States,Miami,
E00440,Jack Huynh,Manager,Marketing,Research & Development,Male,Asian,27,25-09-18,"$114,441 ",10% ,China,Chongqing,22-12-19
E00595,Everly Chow,Sr. Manger,Finance,Speciality Products,Female,Asian,33,21-04-18,"$140,402 ",15% ,China,Beijing,
E00972,Amelia Salazar,Analyst II,Finance,Corporate,Female,Latino,26,23-04-19,"$59,817 ",0% ,Brazil,Sao Paulo,
E04562,Xavier Zheng,Account Representative,Sales,Manufacturing,Male,Asian,31,22-07-17,"$55,854 ",0% ,United States,Austin,
E02802,Matthew Chau,Sr. Business Partner,Human Resources,Research & Development,Male,Asian,53,16-11-02,"$95,998 ",0% ,United States,Seattle,
E01427,Mia Cheng,Sr. Manger,Sales,Manufacturing,Female,Asian,34,22-04-15,"$154,941 ",13% ,United States,Phoenix,
E04568,Rylee Yu,Vice President,Finance,Speciality Products,Female,Asian,54,10-07-11,"$247,022 ",30% ,China,Beijing,
E04931,Zoe Romero,Network Architect,IT,Manufacturing,Female,Latino,32,05-10-21,"$88,072 ",0% ,Brazil,Sao Paulo,
E00443,Nolan Bui,Computer Systems Manager,IT,Research & Development,Male,Asian,28,26-05-20,"$67,925 ",8% ,China,Shanghai,
E03890,Nevaeh Jones,Vice President,Sales,Manufacturing,Female,Caucasian,31,20-08-20,"$219,693 ",30% ,United States,Austin,
E01194,Samantha Adams,Test Engineer,Engineering,Research & Development,Female,Caucasian,45,22-04-13,"$61,773 ",0% ,United States,Seattle,
E02875,Madeline Shin,Computer Systems Manager,IT,Speciality Products,Female,Asian,48,09-01-07,"$74,546 ",9% ,United States,Seattle,
E04959,Noah King,Development Engineer,Engineering,Speciality Products,Male,Black,56,27-01-15,"$62,575 ",0% ,United States,Miami,
E03816,Leilani Chow,Director,Human Resources,Corporate,Female,Asian,27,23-02-21,"$199,041 ",16% ,China,Beijing,
E01261,Connor Simmons,Analyst II,Accounting,Speciality Products,Male,Caucasian,55,05-04-07,"$52,310 ",0% ,United States,Miami,12-10-18
E03612,Grayson Cooper,Sr. Manger,Finance,Speciality Products,Male,Black,64,29-06-13,"$159,571 ",10% ,United States,Columbus,
E01388,Ivy Soto,Field Engineer,Engineering,Research & Development,Female,Latino,50,23-10-97,"$91,763 ",0% ,United States,Austin,
E03875,Aurora Simmons,Development Engineer,Engineering,Corporate,Female,Caucasian,51,22-12-95,"$96,475 ",0% ,United States,Austin,
E04413,Andrew Thomas,Controls Engineer,Engineering,Manufacturing,Male,Caucasian,36,02-12-16,"$113,781 ",0% ,United States,Columbus,
E00691,Ezekiel Desai,Director,Finance,Research & Development,Male,Asian,42,15-01-03,"$166,599 ",26% ,United States,Seattle,
E03047,Gabriella Gupta,Sr. Account Representative,Sales,Corporate,Female,Asian,41,15-02-05,"$95,372 ",0% ,China,Shanghai,
E04903,Skylar Liu,Director,IT,Research & Development,Female,Asian,29,09-08-20,"$161,203 ",15% ,China,Chengdu,
E04735,Nova Coleman,System Administrator ,IT,Manufacturing,Female,Caucasian,44,13-12-06,"$74,738 ",0% ,United States,Miami,
E02850,Evelyn Dinh,Director,Sales,Research & Development,Female,Asian,41,10-08-18,"$171,173 ",21% ,United States,Columbus,
E03583,Brooks Marquez,Vice President,Sales,Corporate,Male,Latino,61,24-09-19,"$201,464 ",37% ,United States,Chicago,
E02017,Connor Joseph,Director,Human Resources,Corporate,Male,Caucasian,50,22-07-98,"$174,895 ",15% ,United States,Chicago,
E01642,Mia Lam,Sr. Manger,IT,Manufacturing,Female,Asian,49,18-04-06,"$134,486 ",14% ,United States,Austin,
E04379,Scarlett Rodriguez,Sr. Analyst,Finance,Manufacturing,Female,Latino,60,24-02-07,"$71,699 ",0% ,Brazil,Manaus,
E04131,Cora Rivera,Sr. Analyst,Marketing,Corporate,Female,Latino,42,02-01-21,"$94,430 ",0% ,United States,Seattle,
E02872,Liam Jung,Manager,Finance,Corporate,Male,Asian,39,14-01-10,"$103,504 ",7% ,China,Chengdu,
E02331,Sophia Huynh,Enterprise Architect,IT,Manufacturing,Female,Asian,55,09-08-05,"$92,771 ",0% ,United States,Miami,
E00417,Athena Carrillo,Analyst II,Finance,Speciality Products,Female,Latino,39,06-04-06,"$71,531 ",0% ,United States,Columbus,
E04267,Greyson Sanders,Cloud Infrastructure Architect,IT,Speciality Products,Male,Black,28,06-03-19,"$90,304 ",0% ,United States,Chicago,
E03061,Vivian Lewis,Manager,Marketing,Manufacturing,Female,Caucasian,65,07-09-11,"$104,903 ",10% ,United States,Columbus,
E00013,Elena Vang,Analyst,Finance,Corporate,Female,Asian,52,19-02-19,"$55,859 ",0% ,China,Beijing,
E04265,Natalia Diaz,Operations Engineer,Engineering,Corporate,Female,Latino,62,12-10-06,"$79,785 ",0% ,United States,Austin,
E04769,Mila Leung,Sr. Analyst,Marketing,Corporate,Female,Asian,39,05-11-07,"$99,017 ",0% ,China,Beijing,
E03042,Ava Nelson,Systems Analyst,IT,Manufacturing,Female,Caucasian,63,01-04-92,"$53,809 ",0% ,United States,Phoenix,
E00527,Mateo Chu,Field Engineer,Engineering,Speciality Products,Male,Asian,27,16-04-20,"$71,864 ",0% ,China,Chengdu,
E01095,Isla Lai,Vice President,Finance,Corporate,Female,Asian,37,06-12-11,"$225,558 ",33% ,China,Shanghai,
E03131,Ezekiel Reed,Sr. Manger,IT,Manufacturing,Male,Caucasian,37,25-02-14,"$128,984 ",12% ,United States,Miami,01-05-21
E01713,Nolan Guzman,Field Engineer,Engineering,Speciality Products,Male,Latino,46,20-06-99,"$96,997 ",0% ,Brazil,Sao Paulo,
E00128,Everleigh Espinoza,Director,Human Resources,Manufacturing,Female,Latino,54,22-01-18,"$176,294 ",28% ,United States,Austin,
E03849,Evelyn Jung,Analyst,Sales,Research & Development,Female,Asian,30,14-02-21,"$48,340 ",0% ,China,Beijing,
E02464,Sophie Silva,Vice President,Engineering,Corporate,Female,Latino,28,06-07-17,"$240,488 ",40% ,Brazil,Rio de Janerio,
E00306,Mateo Williams,Enterprise Architect,IT,Manufacturing,Male,Caucasian,40,22-01-11,"$97,339 ",0% ,United States,Austin,
E03737,Kennedy Rahman,Vice President,Human Resources,Manufacturing,Female,Asian,49,28-02-03,"$211,291 ",37% ,China,Chongqing,
E02783,Levi Mendez,Vice President,Sales,Research & Development,Male,Latino,39,23-08-11,"$249,506 ",30% ,Brazil,Rio de Janerio,
E02939,Julian Fong,Quality Engineer,Engineering,Speciality Products,Male,Asian,61,22-11-02,"$80,950 ",0% ,China,Chongqing,
E02706,Nevaeh Kang,Automation Engineer,Engineering,Research & Development,Female,Asian,46,10-01-21,"$86,538 ",0% ,China,Chengdu,
E00170,Hannah Nelson,Sr. Analyst,Marketing,Speciality Products,Female,Caucasian,35,07-09-19,"$70,992 ",0% ,United States,Austin,
E01425,Anthony Rogers,Vice President,Engineering,Corporate,Male,Caucasian,33,18-06-15,"$205,314 ",30% ,United States,Columbus,
E00130,Paisley Kang,Vice President,Human Resources,Corporate,Female,Asian,61,10-03-17,"$196,951 ",33% ,China,Beijing,
E02094,Matthew Gupta,Network Engineer,IT,Speciality Products,Male,Asian,45,18-09-05,"$67,686 ",0% ,China,Beijing,
E03567,Silas Chavez,Technical Architect,IT,Research & Development,Male,Latino,51,15-04-08,"$86,431 ",0% ,United States,Columbus,
E04682,Colton Thao,Manager,Human Resources,Manufacturing,Male,Asian,55,16-11-95,"$125,936 ",8% ,China,Chongqing,
E00957,Genesis Perry,Sr. Manger,Sales,Corporate,Female,Caucasian,46,18-07-13,"$149,712 ",14% ,United States,Columbus,
E04458,Alexander Bryant,Field Engineer,Engineering,Speciality Products,Male,Caucasian,30,02-10-21,"$88,758 ",0% ,United States,Seattle,
E01499,Elias Zhang,Solutions Architect,IT,Research & Development,Male,Asian,54,13-07-13,"$83,639 ",0% ,China,Beijing,
E00521,Lily Carter,Network Architect,IT,Research & Development,Female,Caucasian,54,18-05-98,"$68,268 ",0% ,United States,Phoenix,
E03717,Joseph Ruiz,Field Engineer,Engineering,Manufacturing,Male,Latino,45,26-02-02,"$75,819 ",0% ,Brazil,Sao Paulo,
E01533,Avery Bailey,Sr. Analyst,Sales,Speciality Products,Female,Caucasian,49,15-05-96,"$86,658 ",0% ,United States,Phoenix,
E04449,Miles Hsu,Analyst II,Finance,Research & Development,Male,Asian,55,16-03-14,"$74,552 ",0% ,China,Chengdu,
E02855,Piper Cheng,Enterprise Architect,IT,Manufacturing,Female,Asian,62,15-03-09,"$82,839 ",0% ,United States,Miami,
E00816,Skylar Watson,Network Architect,IT,Speciality Products,Female,Caucasian,28,08-10-21,"$64,475 ",0% ,United States,Phoenix,
E02283,Jaxon Park,Network Architect,IT,Manufacturing,Male,Asian,33,24-07-20,"$69,453 ",0% ,China,Chengdu,
E04888,Elijah Henry,Manager,IT,Corporate,Male,Caucasian,32,03-01-14,"$127,148 ",10% ,United States,Miami,
E03907,Camila Watson,Vice President,Finance,Speciality Products,Female,Caucasian,32,02-01-18,"$190,253 ",33% ,United States,Austin,
E02166,Lucas Thomas,Manager,Accounting,Research & Development,Male,Caucasian,55,28-04-00,"$115,798 ",5% ,United States,Miami,
E00431,Skylar Doan,Sr. Business Partner,Human Resources,Research & Development,Female,Asian,58,21-08-94,"$93,102 ",0% ,United States,Seattle,13-12-13
E01501,Hudson Liu,Engineering Manager,Engineering,Speciality Products,Male,Asian,34,16-11-17,"$110,054 ",15% ,United States,Miami,
E01141,Gianna Williams,Quality Engineer,Engineering,Research & Development,Female,Black,27,28-01-21,"$95,786 ",0% ,United States,Chicago,
E02254,Jaxson Sandoval,Sr. Analyst,Sales,Speciality Products,Male,Latino,61,03-05-17,"$90,855 ",0% ,Brazil,Sao Paulo,
E04504,Jameson Alvarado,Enterprise Architect,IT,Manufacturing,Male,Latino,47,14-03-99,"$92,897 ",0% ,Brazil,Sao Paulo,
E03394,Joseph Ly,Vice President,Marketing,Speciality Products,Male,Asian,40,28-02-09,"$242,919 ",31% ,China,Chongqing,
E02942,Daniel Richardson,Director,Engineering,Speciality Products,Male,Caucasian,30,20-05-18,"$184,368 ",29% ,United States,Austin,
E04130,Elias Figueroa,Sr. Manger,Finance,Corporate,Male,Latino,45,24-12-21,"$144,754 ",15% ,United States,Phoenix,
E02848,Emma Brooks,Sr. Account Representative,Sales,Research & Development,Female,Caucasian,30,18-12-16,"$89,458 ",0% ,United States,Austin,
E00085,Isla Wong,Vice President,Accounting,Corporate,Female,Asian,56,16-03-14,"$190,815 ",40% ,United States,Austin,
E03956,Everly Walker,Sr. Manger,Sales,Research & Development,Female,Caucasian,62,02-08-99,"$137,995 ",14% ,United States,Austin,
E00672,Mila Pena,Sr. Business Partner,Human Resources,Manufacturing,Female,Latino,45,21-12-07,"$93,840 ",0% ,Brazil,Manaus,
E04618,Mason Zhao,Technical Architect,IT,Research & Development,Male,Asian,46,26-10-21,"$94,790 ",0% ,China,Chongqing,
E03506,Jaxson Mai,Vice President,Human Resources,Research & Development,Male,Asian,48,08-03-14,"$197,367 ",39% ,United States,Austin,
E00568,Ava Garza,Director,Accounting,Manufacturing,Female,Latino,27,25-06-18,"$174,097 ",21% ,United States,Phoenix,
E00535,Nathan Mendez,Manager,IT,Speciality Products,Male,Latino,53,31-10-06,"$120,128 ",10% ,United States,Austin,
E04630,Maria Griffin,Manager,Marketing,Manufacturing,Female,Caucasian,59,25-04-07,"$129,708 ",5% ,United States,Miami,
E00874,Alexander Choi,Manager,Marketing,Research & Development,Male,Asian,55,18-09-94,"$102,270 ",10% ,United States,Chicago,
E01546,Maria Hong,Vice President,Finance,Speciality Products,Female,Asian,43,31-07-05,"$249,686 ",31% ,China,Chongqing,
E00941,Sophie Ali,Analyst,Finance,Manufacturing,Female,Asian,55,28-03-02,"$50,475 ",0% ,United States,Columbus,
E03446,Julian Ross,Manager,Marketing,Research & Development,Male,Caucasian,51,02-07-20,"$100,099 ",8% ,United States,Miami,
E01361,Emma Hill,IT Coordinator,IT,Manufacturing,Female,Caucasian,54,27-12-16,"$41,673 ",0% ,United States,Miami,
E01631,Leilani Yee,Sr. Analyst,Marketing,Speciality Products,Female,Asian,47,12-07-17,"$70,996 ",0% ,China,Chengdu,
E03719,Jack Brown,Analyst,Marketing,Corporate,Male,Caucasian,55,07-12-04,"$40,752 ",0% ,United States,Phoenix,
E03269,Charlotte Chu,Network Engineer,IT,Manufacturing,Female,Asian,50,23-01-01,"$97,537 ",0% ,China,Chengdu,
E01037,Jeremiah Chu,IT Systems Architect,IT,Research & Development,Male,Asian,31,12-09-20,"$96,567 ",0% ,China,Shanghai,
E00671,Miles Cho,Systems Analyst,IT,Speciality Products,Male,Asian,47,10-03-99,"$49,404 ",0% ,China,Beijing,
E02216,Caleb Marquez,IT Systems Architect,IT,Research & Development,Male,Latino,29,15-10-19,"$66,819 ",0% ,Brazil,Rio de Janerio,
E02803,Eli Soto,Analyst,Marketing,Speciality Products,Male,Latino,38,02-05-16,"$50,784 ",0% ,Brazil,Rio de Janerio,
E01584,Carter Mejia,Sr. Manger,Human Resources,Research & Development,Male,Latino,29,09-05-19,"$125,828 ",15% ,Brazil,Sao Paulo,
E02489,Ethan Clark,Sr. Business Partner,Human Resources,Manufacturing,Male,Caucasian,33,04-08-17,"$92,610 ",0% ,United States,Columbus,
E03189,Asher Jackson,Sr. Manger,Sales,Speciality Products,Male,Caucasian,50,25-03-03,"$123,405 ",13% ,United States,Columbus,
E03560,Ayla Ng,Account Representative,Sales,Manufacturing,Female,Asian,46,20-03-04,"$73,004 ",0% ,China,Beijing,
E00769,Jose Kang,Engineering Manager,Engineering,Corporate,Male,Asian,57,25-04-99,"$95,061 ",10% ,China,Shanghai,
E02791,Aubrey Romero,Director,Sales,Corporate,Female,Latino,49,02-04-98,"$160,832 ",30% ,United States,Phoenix,
E02333,Jaxson Wright,Service Desk Analyst,IT,Manufacturing,Male,Black,54,28-12-10,"$64,417 ",0% ,United States,Columbus,
E01002,Elias Ali,Manager,Sales,Corporate,Male,Asian,28,19-03-21,"$127,543 ",6% ,China,Shanghai,
E03520,Nolan Pena,Analyst,Marketing,Manufacturing,Male,Latino,30,21-06-18,"$56,154 ",0% ,Brazil,Sao Paulo,
E00752,Luna Liu,Vice President,Sales,Manufacturing,Female,Asian,36,22-02-14,"$218,530 ",30% ,China,Shanghai,
E00233,Brooklyn Reyes,Service Desk Analyst,IT,Manufacturing,Female,Latino,36,19-12-19,"$91,954 ",0% ,United States,Columbus,
E02639,Hadley Parker,Vice President,Marketing,Corporate,Female,Black,30,21-09-16,"$221,217 ",32% ,United States,Columbus,25-09-17
E00697,Jonathan Chavez,System Administrator ,IT,Manufacturing,Male,Latino,29,11-05-17,"$87,536 ",0% ,United States,Seattle,
E02183,Sarah Ayala,Analyst,Sales,Corporate,Female,Latino,47,09-06-15,"$41,429 ",0% ,United States,Seattle,
E00715,Elijah Kang,Vice President,Engineering,Manufacturing,Male,Asian,35,10-10-11,"$245,482 ",39% ,United States,Seattle,
E04288,Ella White,Development Engineer,Engineering,Manufacturing,Female,Caucasian,25,20-01-20,"$71,359 ",0% ,United States,Phoenix,
E02421,Jordan Truong,Director,Engineering,Speciality Products,Male,Asian,45,28-08-14,"$183,161 ",22% ,United States,Miami,
E00523,Daniel Jordan,Network Administrator,IT,Corporate,Male,Caucasian,58,26-07-93,"$69,260 ",0% ,United States,Phoenix,
E03615,Daniel Dixon,Operations Engineer,Engineering,Speciality Products,Male,Caucasian,51,09-10-99,"$95,639 ",0% ,United States,Austin,
E02761,Luca Duong,Manager,Human Resources,Research & Development,Male,Asian,48,30-06-04,"$120,660 ",7% ,China,Chengdu,
